,in1,in2,in3,out1,x,y,z,k
0,2912-2903,4604-2903,2935-2903,2903-2902,4,4,4,4
1,2920-2912,2911-2912,2913-2912,2912-2903,4,1,2,4
2,2911-2902,2901-2902,4603-2902,2902-2903,3,3,3,3
3,2913-2904,2935-2904,4605-2904,2904-2905,2,3,2,3
4,2908-2907,2915-2907,4607-2907,2907-2906,3,3,4,1
5,4405-2919,2918-2919,2920-2919,2919-2911,3,2,2,1
6,2920-2912,2903-2912,2913-2912,2912-2911,4,3,2,1
7,4404-2920,2919-2920,2921-2920,2920-2912,3,3,3,4
8,2902-2903,4604-2903,2935-2903,2903-2912,3,4,4,3
9,2921-2913,2914-2913,2904-2913,2913-2912,1,1,1,2
10,4523-2921,2920-2921,2922-2921,2921-2913,1,2,2,1
11,2922-2914,2915-2914,2906-2914,2914-2913,1,1,2,1
12,2935-2904,4605-2904,2905-2904,2904-2913,3,2,3,1
13,4512-2922,2921-2922,2923-2922,2922-2914,2,2,2,1
14,4400-4405,2919-4405,4404-4405,4405-2918,4,3,4,3
15,4405-2919,2911-2919,2920-2919,2919-2918,3,2,2,3
16,4400-4405,2918-4405,4404-4405,4405-2919,4,4,4,3
17,4404-2920,2912-2920,2921-2920,2920-2919,3,4,3,2
18,4399-4404,4405-4404,4403-4404,4404-2920,4,4,4,3
19,4405-2919,2918-2919,2911-2919,2919-2920,3,2,2,3
20,2911-2912,2903-2912,2913-2912,2912-2920,1,3,2,4
21,4523-2921,2913-2921,2922-2921,2921-2920,1,1,2,3
22,4389-4523,4403-4523,4511-4523,4523-2921,2,1,1,1
23,4404-2920,2919-2920,2912-2920,2920-2921,3,3,4,2
24,4512-2922,2914-2922,2923-2922,2922-2921,2,1,2,2
25,4523-2921,2920-2921,2913-2921,2921-2922,1,2,1,2
26,2912-2903,2902-2903,4604-2903,2903-2935,4,3,4,1
27,2913-2904,4605-2904,2905-2904,2904-2935,2,2,3,1
28,4398-4390,1039-4390,4391-4390,4390-4389,3,3,2,2
29,4523-4403,1039-4403,4404-4403,4403-4389,2,2,4,4
30,4403-4523,4511-4523,2921-4523,4523-4389,1,1,1,3
31,4389-4523,4511-4523,2921-4523,4523-4403,2,1,1,2
32,4390-4389,4523-4389,4402-4389,4389-4403,2,3,4,4
33,4399-4404,4405-4404,2920-4404,4404-4403,4,4,4,4
34,1039-4399,4413-4399,1036-4399,4399-4404,4,3,3,4
35,4400-4405,2918-4405,2919-4405,4405-4404,4,4,3,4
36,2919-2920,2912-2920,2921-2920,2920-4404,3,4,3,4
37,4523-4403,4389-4403,1039-4403,4403-4404,2,4,2,4
38,2918-2919,2911-2919,2920-2919,2919-4405,2,2,2,3
39,4399-4404,2920-4404,4403-4404,4404-4405,4,4,4,4
40,2918-4405,2919-4405,4404-4405,4405-4400,4,3,4,3
41,1039-4399,4413-4399,4404-4399,4399-1036,4,3,3,2
42,4405-4404,2920-4404,4403-4404,4404-4399,4,4,4,3
43,4403-4389,4523-4389,4402-4389,4389-4390,4,3,4,2
44,1039-4399,1036-4399,4404-4399,4399-4413,4,3,3,2
45,4390-4389,4403-4389,4402-4389,4389-4523,2,4,4,2
46,4389-4403,1039-4403,4404-4403,4403-4523,4,2,4,1
47,2920-2921,2913-2921,2922-2921,2921-4523,2,1,2,1
48,1059-2924,2923-2924,2916-2924,2924-2925,2,2,2,2
49,4517-2925,2926-2925,2917-2925,2925-2924,4,2,4,2
50,2925-2924,1059-2924,2916-2924,2924-2923,2,2,2,1
51,4512-2922,2921-2922,2914-2922,2922-2923,2,2,1,1
52,2910-2909,2917-2909,4609-2909,2909-2908,4,3,4,2
53,2915-2907,2906-2907,4607-2907,2907-2908,3,3,4,1
54,2917-2909,4609-2909,2908-2909,2909-2910,3,4,3,2
55,4609-4601,4600-4601,4592-4601,4601-4602,4,2,4,2
56,4584-4583,4591-4583,4573-4583,4583-4582,2,2,2,1
57,4590-4581,4572-4581,4580-4581,4581-4582,1,1,1,1
58,3460-4584,4592-4584,4583-4584,4584-4574,2,4,2,2
59,4591-4583,4582-4583,4573-4583,4583-4584,2,1,2,2
60,4584-4583,4591-4583,4582-4583,4583-4573,2,2,1,2
61,3460-4584,4592-4584,4574-4584,4584-4583,2,4,4,2
62,4581-4580,4589-4580,4571-4580,4580-4579,1,1,2,1
63,4582-4581,4590-4581,4572-4581,4581-4580,1,1,1,1
64,4589-4580,4579-4580,4571-4580,4580-4581,1,2,2,1
